Nombre,Dirección,Teléfono,Calificación,Sitio Web,Tipo Negocio,Prioridad,Fecha Extracción,Ciudad
Allianz Seguros - Agencia Previsión e Inversión Balmaseda y Gomez,"P.º de Bachilleres, 16, 45003 Toledo",687 84 08 37,5.0,No disponible,Agencias de seguros,ALTA PRIORIDAD,2026-01-19 13:23:03,Toledo
Correduría de Seguros Toledo 89 S. L.,"C. Talavera de la Reina, 2, 45004 Toledo",925 22 64 12,5.0,No disponible,Agencias de seguros,ALTA PRIORIDAD,2026-01-19 13:23:03,Toledo
SAT Balay Bosch Siemens,"C. Colegio Doncellas, 7, 45002 Toledo",No disponible,5.0,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
TALLERES BENQUERENCIA,"C. Industrial Hernisa-II, 18, 45007 Toledo",925 23 22 01,4.9,No disponible,Talleres mecánicos,ALTA PRIORIDAD,2026-01-19 13:23:01,Toledo
ELECTRO OFERTA,"Calle Rio Boladiez 47 (frente BICIS PINA Y Farmacia Benquerencia 24h, 45007 Toledo",632 23 36 85,4.9,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Talleres Saes-Toledo Motor,"C. Río Estenilla, 4, 45007 Toledo",925 23 10 05,4.8,No disponible,Talleres mecánicos,ALTA PRIORIDAD,2026-01-19 13:23:01,Toledo
Mundo Tecnico,"Av. Purísima Concepción, 64, local 1, 45006 Toledo",925 62 04 95,4.8,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Electrónica J C R,"C. de la Ermita, 2, 45006 Toledo",925 22 01 31,4.7,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Dosan,"Av. Plaza de Toros, 10, 45003 Toledo",925 25 22 57,4.6,No disponible,Talleres mecánicos,ALTA PRIORIDAD,2026-01-19 13:23:01,Toledo
Talleres Juan González,"Pª DE BACHILLERES, 14, 45003 Toledo",925 22 62 03,4.5,No disponible,Talleres mecánicos,ALTA PRIORIDAD,2026-01-19 13:23:01,Toledo
Electro-Hogar,"Rda. Buenavista, 27, local 6 F, 45005 Toledo",925 22 38 28,4.4,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
TeleServicio Pablo,"Tr.ª San Roque, 5, Local 1, 45003 Toledo",925 21 27 56,4.3,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Centro Médico Nuestra Señora de Lourdes,"C. Valdivias, 9, 45003 Toledo",925 28 39 98,4.0,No disponible,Clínicas,ALTA PRIORIDAD,2026-01-19 13:23:09,Toledo
Agencia de Santalucía Seguros,"Av. de Europa, 22, 45003 Toledo",925 25 29 12,3.9,https://www.santalucia.es/agencias-de-seguros/toledo/toledo/avenida-europa?utm_campaign=toledo-avenida-europa&utm_medium=cita&utm_source=gmb,Agencias de seguros,ALTA PRIORIDAD,2026-01-19 13:23:03,Toledo
Servicio Técnico Oficial Toledo M.G.,"C. Covarrubias, 17, 45003 Toledo",925 22 56 18,3.9,http://www.serviciotecnicotoledo.net/,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Servicio Técnico Electrodomésticos Toledo,"C. Río Guadarrama, 45007 Toledo",622 73 20 70,3.9,https://www.serviciotecnicoelectrodomesticostoledo.es/,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Servicio Oficial Samsung - Electrónica Jopal S. L.,"Av. Purísima Concepción, 31, 45006 Toledo",925 25 04 42,3.9,http://www.electronicajopal.com/,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Junkers servcio tecnico,"Av. del Río Boladiez, 54C, 45007 Toledo",825 75 09 19,3.9,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
"Comercial Losada, S.L.","C. Río Jarama, 52A, 45007 Toledo",925 21 59 66,3.8,http://www.comerciallosada.es/,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Centro médico Enova,"C. Marqués de Mendigorría, 4, 45003 Toledo",925 60 00 01,3.8,http://www.centromedicoenova.com/,Clínicas,ALTA PRIORIDAD,2026-01-19 13:23:09,Toledo
CLINIDOL - Toledo,"Rda. Buenavista, 45, 45005 Toledo",925 21 31 02,3.8,https://spa.massage.ivof.com/clinidol/,Clínicas,ALTA PRIORIDAD,2026-01-19 13:23:09,Toledo
A.M.A. Seguros,"C. Andalucía, 8, 45005 Toledo",925 25 43 97,3.7,https://www.amaseguros.com/oficinas/toledo,Agencias de seguros,ALTA PRIORIDAD,2026-01-19 13:23:03,Toledo
Policlínico HM Imi Toledo,"Av. de Irlanda, 21, 45005 Toledo",925 25 45 15,3.5,https://www.hmhospitales.com/sobre-hm/policlinicos/hm-imi-toledo,Clínicas,ALTA PRIORIDAD,2026-01-19 13:23:09,Toledo
SERVICIO TECNICO OFICIAL WHIRLPOOL SAT TOLEDO,No disponible,925 62 21 21,3.4,No disponible,Reparación de electrodomésticos,ALTA PRIORIDAD,2026-01-19 13:23:07,Toledo
Soliss Seguros Toledo,"Cta. Águila, 5, 45001 Toledo",925 21 12 00,3.2,http://www.soliss.es/,Agencias de seguros,ALTA PRIORIDAD,2026-01-19 13:23:03,Toledo
Clínica Ballestero,"C. Ocaña, 6, 45004 Toledo",925 22 41 53,2.8,https://clinicatoledo.es/,Clínicas,ALTA PRIORIDAD,2026-01-19 13:23:09,Toledo
Policlinica Nuestra Señora del Rosario,"Carr. de la Peraleda, 5, 45004 Toledo",925 22 42 88,2.7,No disponible,Clínicas,ALTA PRIORIDAD,2026-01-19 13:23:09,Toledo
Alujor Motor SPG Talleres -Taller mecánico en Toledo,"C. Río Jarama, 132, NAVE 10-14, 45007 Toledo",No disponible,5.0,https://www.spgtalleres.com/alujor-motor,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
Taller Antonio V. García,"C. Miguel de Cervantes, 9, 45001 Toledo",626 55 99 02,5.0,https://tallerantoniovgarcia.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB&utm_id=GMB,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
SegurHappy | Corredores de Seguros,"Av. de Madrid, 14, 45003 Toledo",925 62 05 93,5.0,https://segurhappy.com/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Allianz Seguros - Agencia Roberto Carlos Sanchón,"C. Río Valdemarías, 34, 45007 Toledo",925 23 23 56,5.0,https://www.allianz.es/agencia/robertosanchon.html,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
AXA Oficina Seguros Marjise (Toledo),"C. Berlin, 1, 45003 Toledo",925 28 48 08,5.0,https://www.axa.es/oficina/agencia-seguros-marjise_OTA3OTA3?utm_source=google&utm_medium=mybusiness&utm_campaign=home,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Allianz Seguros - Agente Paloma Vallejo Mora,"P.º de Bachilleres, 2, 45003 Toledo",925 21 12 69,5.0,https://www.allianz.es/agencia/palomavallejo.html,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
SAT técnico Hisense Beko Liebherr Teka,"C. Talavera de la Reina, 14, 45004 Toledo",825 75 09 00,5.0,https://www.ilurotecnic.com/servicio-tecnico/hisense/?ubicacion=toledo,Reparación de electrodomésticos,Normal,2026-01-19 13:23:07,Toledo
Clic Reparación Toledo,"C. Berna, 1, 45003 Toledo",825 76 59 31,5.0,https://clicreparacion.com/toledo,Reparación de electrodomésticos,Normal,2026-01-19 13:23:07,Toledo
Pedro Citoler Odontología Estética,"Plaza de filipinas, 11, 45004 Toledo",658 50 87 41,5.0,https://pedrocitoler.es/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clínica Flores Carral,"Av. de Europa, 20, 45003 Toledo",925 62 59 90,5.0,https://clinicaflorescarral.com/?utm_source=Google+My+Busines&utm_medium=organic,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Talleres Autopista 77,"Av. de la Cava, 6, 45004 Toledo",622 37 50 53,4.9,http://www.talleresautopista77.com/,Talleres mecánicos,Normal,2026-01-19 13:23:01,Toledo
AXA Oficina - Gestión Integral de Seguros Toledo,"C. Corpus Christi, 8, BAJO-LOC, 45005 Toledo",925 28 19 59,4.9,https://www.axa.es/oficina/907911-gestion-integral-seguros-toledo-sl,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Correduria De Seguros Garcia Ochoa,"C. Mazarambroz, 13, 45100 Sonseca, Toledo",925 38 28 38,4.9,http://www.segurostoledo.es/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Seguro Joven. Comparador de Seguros.,"Polígono de, C. Río Puentesecas, 4, 45007 Toledo",902 20 04 44,4.9,http://www.segurojoven.com/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Olvido Sastre,"C. de Mejico, 9, 45004 Toledo",926 80 09 19,4.9,https://www.olvidosastre.com/,Agencias de seguros,Normal,2026-01-19 13:23:03,Toledo
Clínica Toledo Dra.Cañete / Medicina Estética / Salud Femenina,"Calle Dr. Fleming, 1, 45005 Toledo",674 71 58 22,4.9,https://www.xn--clinicadracaete-9qb.com/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clínica Medicina Estética Alexa Espinosa Toledo,"C. Colombia, 4, 45004 Toledo",No disponible,4.9,https://clinicaalexaespinosa.com/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clinica Dental AM,"Policlinica Nuestra Señora del Rosario, Carr. de la Peraleda, 5, 45005 Toledo",925 21 20 60,4.9,https://www.am-odontologia.es/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
Clínica Torres Dental,"C. Esparteros, 7, 45006 Toledo",925 22 71 56,4.9,http://www.torresdental.es/lp/,Clínicas,Normal,2026-01-19 13:23:09,Toledo
